backfill: 1152 readings missing over 14976, 1152 tasks touched
13824 already done, 1152 tasks left, 13 workers
  10/1152 tasks, 0.1 min elapsed, 12.6 min left
  20/1152 tasks, 0.2 min elapsed, 11.1 min left
  30/1152 tasks, 0.3 min elapsed, 10.7 min left
  40/1152 tasks, 0.4 min elapsed, 10.4 min left
  50/1152 tasks, 0.4 min elapsed, 9.1 min left
  60/1152 tasks, 0.5 min elapsed, 8.9 min left
  70/1152 tasks, 0.6 min elapsed, 9.2 min left
  80/1152 tasks, 0.7 min elapsed, 9.4 min left
  90/1152 tasks, 0.7 min elapsed, 8.7 min left
  100/1152 tasks, 0.9 min elapsed, 9.0 min left
  110/1152 tasks, 1.0 min elapsed, 9.3 min left
  120/1152 tasks, 1.1 min elapsed, 9.2 min left
  130/1152 tasks, 1.1 min elapsed, 8.9 min left
  140/1152 tasks, 1.2 min elapsed, 9.0 min left
  150/1152 tasks, 1.4 min elapsed, 9.3 min left
  160/1152 tasks, 1.5 min elapsed, 9.5 min left
  170/1152 tasks, 1.6 min elapsed, 9.3 min left
  180/1152 tasks, 1.7 min elapsed, 9.2 min left
  190/1152 tasks, 1.8 min elapsed, 9.3 min left
  200/1152 tasks, 1.9 min elapsed, 9.2 min left
  210/1152 tasks, 2.0 min elapsed, 8.9 min left
  220/1152 tasks, 2.1 min elapsed, 8.7 min left
  230/1152 tasks, 2.1 min elapsed, 8.6 min left
  240/1152 tasks, 2.2 min elapsed, 8.4 min left
  250/1152 tasks, 2.3 min elapsed, 8.3 min left
  260/1152 tasks, 2.4 min elapsed, 8.2 min left
  270/1152 tasks, 2.5 min elapsed, 8.1 min left
  280/1152 tasks, 2.6 min elapsed, 8.1 min left
  290/1152 tasks, 2.7 min elapsed, 8.0 min left
  300/1152 tasks, 2.8 min elapsed, 7.9 min left
  310/1152 tasks, 2.9 min elapsed, 7.8 min left
  320/1152 tasks, 3.0 min elapsed, 7.8 min left
  330/1152 tasks, 3.1 min elapsed, 7.7 min left
  340/1152 tasks, 3.2 min elapsed, 7.7 min left
  350/1152 tasks, 3.4 min elapsed, 7.7 min left
  360/1152 tasks, 3.5 min elapsed, 7.7 min left
  370/1152 tasks, 3.6 min elapsed, 7.6 min left
  380/1152 tasks, 3.7 min elapsed, 7.6 min left
  390/1152 tasks, 3.8 min elapsed, 7.4 min left
  400/1152 tasks, 3.9 min elapsed, 7.3 min left
  410/1152 tasks, 3.9 min elapsed, 7.1 min left
  420/1152 tasks, 4.0 min elapsed, 7.0 min left
  430/1152 tasks, 4.1 min elapsed, 6.9 min left
  440/1152 tasks, 4.2 min elapsed, 6.8 min left
  450/1152 tasks, 4.3 min elapsed, 6.7 min left
  460/1152 tasks, 4.4 min elapsed, 6.6 min left
  470/1152 tasks, 4.4 min elapsed, 6.4 min left
  480/1152 tasks, 4.5 min elapsed, 6.3 min left
  490/1152 tasks, 4.6 min elapsed, 6.2 min left
  500/1152 tasks, 4.7 min elapsed, 6.2 min left
  510/1152 tasks, 4.8 min elapsed, 6.1 min left
  520/1152 tasks, 4.9 min elapsed, 6.0 min left
  530/1152 tasks, 5.0 min elapsed, 5.9 min left
  540/1152 tasks, 5.1 min elapsed, 5.8 min left
  550/1152 tasks, 5.3 min elapsed, 5.8 min left
  560/1152 tasks, 5.4 min elapsed, 5.7 min left
  570/1152 tasks, 5.6 min elapsed, 5.7 min left
  580/1152 tasks, 5.6 min elapsed, 5.5 min left
  590/1152 tasks, 5.7 min elapsed, 5.4 min left
  600/1152 tasks, 5.8 min elapsed, 5.3 min left
  610/1152 tasks, 5.9 min elapsed, 5.2 min left
  620/1152 tasks, 5.9 min elapsed, 5.1 min left
  630/1152 tasks, 6.0 min elapsed, 5.0 min left
  640/1152 tasks, 6.1 min elapsed, 4.9 min left
  650/1152 tasks, 6.2 min elapsed, 4.8 min left
  660/1152 tasks, 6.3 min elapsed, 4.7 min left
  670/1152 tasks, 6.4 min elapsed, 4.6 min left
  680/1152 tasks, 6.5 min elapsed, 4.5 min left
  690/1152 tasks, 6.6 min elapsed, 4.4 min left
  700/1152 tasks, 6.7 min elapsed, 4.3 min left
  710/1152 tasks, 6.8 min elapsed, 4.3 min left
  720/1152 tasks, 6.9 min elapsed, 4.2 min left
  730/1152 tasks, 7.1 min elapsed, 4.1 min left
  740/1152 tasks, 7.2 min elapsed, 4.0 min left
  750/1152 tasks, 7.4 min elapsed, 3.9 min left
  760/1152 tasks, 7.5 min elapsed, 3.9 min left
  770/1152 tasks, 7.6 min elapsed, 3.8 min left
  780/1152 tasks, 7.7 min elapsed, 3.7 min left
  790/1152 tasks, 7.8 min elapsed, 3.6 min left
  800/1152 tasks, 7.8 min elapsed, 3.4 min left
  810/1152 tasks, 7.9 min elapsed, 3.3 min left
  820/1152 tasks, 8.0 min elapsed, 3.2 min left
  830/1152 tasks, 8.1 min elapsed, 3.1 min left
  840/1152 tasks, 8.2 min elapsed, 3.0 min left
  850/1152 tasks, 8.3 min elapsed, 2.9 min left
  860/1152 tasks, 8.4 min elapsed, 2.8 min left
  870/1152 tasks, 8.5 min elapsed, 2.8 min left
  880/1152 tasks, 8.6 min elapsed, 2.7 min left
  890/1152 tasks, 8.7 min elapsed, 2.6 min left
  900/1152 tasks, 8.8 min elapsed, 2.5 min left
  910/1152 tasks, 8.9 min elapsed, 2.4 min left
  920/1152 tasks, 9.1 min elapsed, 2.3 min left
  930/1152 tasks, 9.2 min elapsed, 2.2 min left
  940/1152 tasks, 9.3 min elapsed, 2.1 min left
  950/1152 tasks, 9.5 min elapsed, 2.0 min left
  960/1152 tasks, 9.6 min elapsed, 1.9 min left
  970/1152 tasks, 9.7 min elapsed, 1.8 min left
  980/1152 tasks, 9.8 min elapsed, 1.7 min left
  990/1152 tasks, 9.8 min elapsed, 1.6 min left
  1000/1152 tasks, 9.9 min elapsed, 1.5 min left
