threshold,recall,fpr,grid_precision,prevalence_precision,tp,fp,n_pos,n_neg
-51.926,1.0,1.0,0.2,0.1,576,2304,576,2304
-50.463,1.0,0.9973958333333334,0.20041753653444677,0.10023492560689115,576,2298,576,2304
-49.537,1.0,0.9700520833333334,0.20490928495197439,0.10276997189883581,576,2235,576,2304
-48.801500000000004,1.0,0.9435763888888888,0.20945454545454545,0.10534979423868314,576,2174,576,2304
-48.3385,1.0,0.9422743055555556,0.20968329086275939,0.10548001648125258,576,2171,576,2304
-48.093500000000006,1.0,0.9236111111111112,0.21301775147928995,0.10738255033557047,576,2128,576,2304
-47.908500000000004,1.0,0.9192708333333334,0.21380846325167038,0.10783487784330245,576,2118,576,2304
-47.6635,1.0,0.9144965277777778,0.2146850540439806,0.10833685992382565,576,2107,576,2304
-47.3855,1.0,0.9019097222222222,0.21703089675960813,0.10968294772922023,576,2078,576,2304
-47.1405,1.0,0.89453125,0.21843003412969283,0.1104876996115667,576,2061,576,2304
-46.95399999999999,1.0,0.8680555555555556,0.2236024844720497,0.11347517730496455,576,2000,576,2304
-46.757999999999996,1.0,0.8676215277777778,0.22368932038834952,0.11352549889135255,576,1999,576,2304
-46.653000000000006,1.0,0.83984375,0.22939068100358423,0.11684162482884529,576,1935,576,2304
-46.604,1.0,0.8372395833333334,0.22994011976047904,0.11716247139588101,576,1929,576,2304
-46.499,1.0,0.8107638888888888,0.23567921440261866,0.12052730696798496,576,1868,576,2304
-46.3625,1.0,0.7981770833333334,0.23850931677018633,0.12219570405727924,576,1839,576,2304
-46.257000000000005,1.0,0.7973090277777778,0.23870700372979695,0.12231247013855709,576,1837,576,2304
-46.148,1.0,0.78125,0.24242424242424243,0.12451361867704282,576,1800,576,2304
-46.043000000000006,1.0,0.7738715277777778,0.24417125900805425,0.1255517410495341,576,1783,576,2304
-45.903000000000006,1.0,0.75390625,0.2490272373540856,0.12844957350727546,576,1737,576,2304
-45.697,1.0,0.7330729166666666,0.2543046357615894,0.13161953727506429,576,1689,576,2304
-45.592,1.0,0.7322048611111112,0.2545293857711003,0.13175501801338138,576,1687,576,2304
-45.572,1.0,0.7204861111111112,0.25760286225402507,0.1336116910229645,576,1660,576,2304
-45.467,1.0,0.6775173611111112,0.2695367337388863,0.14089157952669235,576,1561,576,2304
