threshold,recall,fpr,grid_precision,prevalence_precision,tp,fp,n_pos,n_neg
-13.041,1.0,1.0,0.037037037037037035,0.1,576,14976,576,14976
-12.024000000000001,1.0,0.999465811965812,0.03705609881626351,0.10004810004810005,576,14968,576,14976
-11.99,1.0,0.9992654914529915,0.03706325204298308,0.10006614949786517,576,14965,576,14976
-11.956,1.0,0.9988648504273504,0.03707756678467976,0.10010226794200806,576,14959,576,14976
-11.922,1.0,0.9985309829059829,0.03708950418544752,0.10013238656878086,576,14954,576,14976
-11.888,1.0,0.9983306623931624,0.03709667031622335,0.10015046644598255,576,14951,576,14976
-11.854,1.0,0.9977297008547008,0.03711818533316149,0.10020474527279298,576,14942,576,14976
-11.82,1.0,0.9967948717948718,0.03715170278637771,0.10028929604628738,576,14928,576,14976
-11.786000000000001,1.0,0.9960603632478633,0.037178080423417026,0.10035582896085882,576,14917,576,14976
-11.751999999999999,1.0,0.9949252136752137,0.037218919617472215,0.10045882637044193,576,14900,576,14976
-11.718,1.0,0.9935229700854701,0.03726949207376254,0.10058635072235991,576,14879,576,14976
-11.7005,1.0,0.9921207264957265,0.03732020215109499,0.10071419924948555,576,14858,576,14976
-11.683499999999999,1.0,0.9920539529914529,0.037322620358971034,0.1007202953816355,576,14857,576,14976
-11.649999999999999,1.0,0.9899839743589743,0.037397740553174914,0.10090964220739844,576,14826,576,14976
-11.616499999999998,1.0,0.9885149572649573,0.03745123537061118,0.10104444984211805,576,14804,576,14976
-11.599499999999999,1.0,0.9882478632478633,0.037460978147762745,0.1010689990281827,576,14800,576,14976
-11.583,1.0,0.9874465811965812,0.03749023691746941,0.10114271821055192,576,14788,576,14976
-11.565999999999999,1.0,0.9871127136752137,0.03750244156520607,0.1011734662856448,576,14783,576,14976
-11.549,1.0,0.9866452991452992,0.03751954142782699,0.10121654501216545,576,14776,576,14976
-11.532,1.0,0.9862446581196581,0.037534210869281895,0.1012534988438603,576,14770,576,14976
-11.5155,1.0,0.9859775641025641,0.03754399687133359,0.10127814972611078,576,14766,576,14976
-11.4985,1.0,0.9847088675213675,0.037590550153364224,0.10139540552068735,576,14747,576,14976
-11.482,1.0,0.984642094017094,0.03759300352434408,0.10140158439975626,576,14746,576,14976
-11.45,1.0,0.9819043803418803,0.03769386820234278,0.10165556845256278,576,14705,576,14976
-11.4165,1.0,0.9799679487179487,0.03776553894571204,0.1018359853121175,576,14676,576,14976
-11.383500000000002,1.0,0.9780982905982906,0.03783499737256963,0.10201078960274645,576,14648,576,14976
-11.350000000000001,1.0,0.9769631410256411,0.03787729335174591,0.10211721386928506,576,14631,576,14976
-11.316500000000001,1.0,0.9753605769230769,0.03793716656787196,0.10226783848564933,576,14607,576,14976
-11.2835,1.0,0.9746260683760684,0.037964671763775375,0.1023370233702337,576,14596,576,14976
-11.25,1.0,0.9744257478632479,0.0379721801041598,0.10235590822414961,576,14593,576,14976
-11.156500000000001,1.0,0.9743589743589743,0.0379746835443038,0.10236220472440946,576,14592,576,14976
-11.042,1.0,0.9742922008547008,0.037977187314564516,0.10236850199938481,576,14591,576,14976
-10.985,1.0,0.9742254273504274,0.037979691415007254,0.10237480004921866,576,14590,576,14976
-10.9375,1.0,0.9740918803418803,0.03798470060670008,0.10238739847403397,576,14588,576,14976
-10.8995,1.0,0.9740251068376068,0.03798720569808085,0.10239369884930159,576,14587,576,14976
-10.880500000000001,1.0,0.9739583333333334,0.037989711119905026,0.1024,576,14586,576,14976
-10.8615,1.0,0.9736912393162394,0.03799973611294366,0.10242521235996553,576,14582,576,14976
-10.842500000000001,1.0,0.9736244658119658,0.03800224318796595,0.10243151738996614,576,14581,576,14976
-10.8235,1.0,0.9733573717948718,0.03801227479706989,0.10245674527430577,576,14577,576,14976
-10.8045,1.0,0.9729567307692307,0.038027332144979206,0.10249461040960889,576,14571,576,14976
-10.786,1.0,0.9726228632478633,0.0380398890503236,0.10252618607516945,576,14566,576,14976
-10.771,1.0,0.9716880341880342,0.03807509254362771,0.10261470152935373,576,14552,576,14976
-10.7615,1.0,0.9715544871794872,0.038080126933756446,0.10262735907240657,576,14550,576,14976
-10.7485,1.0,0.9713541666666666,0.0380876810156715,0.10264635124298317,576,14547,576,14976
-10.729500000000002,1.0,0.9709535256410257,0.03810279817424092,0.10268435668003703,576,14541,576,14976
-10.7105,1.0,0.9705528846153846,0.038117927337701016,0.1027223902710044,576,14535,576,14976
-10.691500000000001,1.0,0.9703525641025641,0.03812549642573471,0.1027414176339837,576,14532,576,14976
-10.6725,1.0,0.9702857905982906,0.038128020123121734,0.10274776165483175,576,14531,576,14976
-10.596499999999999,1.0,0.9701522435897436,0.0381330685203575,0.10276045204718089,576,14529,576,14976
-10.520499999999998,1.0,0.9700854700854701,0.038135593220338986,0.10276679841897234,576,14528,576,14976
-10.5015,1.0,0.9700186965811965,0.038138118254651396,0.102773145574702,576,14527,576,14976
-10.265,1.0,0.9699519230769231,0.03814064362336114,0.10277949351451512,576,14526,576,14976
-10.028500000000001,1.0,0.9698851495726496,0.038143169326534665,0.10278584223855705,576,14525,576,14976
-10.0095,1.0,0.9694177350427351,0.038160858619318935,0.1028303052774688,576,14518,576,14976
-9.9905,1.0,0.9688835470085471,0.0381810950550179,0.10288116730555212,576,14510,576,14976
-9.971499999999999,1.0,0.967948717948718,0.03821656050955414,0.10297029702970298,576,14496,576,14976
-9.953,1.0,0.9667467948717948,0.038262255878836186,0.10308511956387066,576,14478,576,14976
-9.9435,1.0,0.9666800213675214,0.03826479771474125,0.10309150610247196,576,14477,576,14976
-9.933499999999999,1.0,0.9657451923076923,0.038300418910831836,0.10318100080610157,576,14463,576,14976
-9.9145,1.0,0.9648103632478633,0.038336106489184694,0.10327065102712096,576,14449,576,14976
-9.9025,1.0,0.9640758547008547,0.038364193419475154,0.1033411998509502,576,14438,576,14976
-9.894,1.0,0.9640090811965812,0.03836674881769134,0.10334761816036271,576,14437,576,14976
-9.887,1.0,0.9638087606837606,0.03837441705529647,0.10336687787302772,576,14434,576,14976
