threshold,recall,fpr,grid_precision,prevalence_precision,tp,fp,n_pos,n_neg
-1.0,1.0,1.0,0.25,0.1,576,1728,576,1728
0.35855,1.0,0.0,1.0,1.0,576,0,576,1728
0.7172499999999999,0.9982638888888888,0.0,1.0,1.0,575,0,576,1728
0.71755,0.9965277777777778,0.0,1.0,1.0,574,0,576,1728
0.7179,0.9947916666666666,0.0,1.0,1.0,573,0,576,1728
0.71815,0.984375,0.0,1.0,1.0,567,0,576,1728
0.7182999999999999,0.9756944444444444,0.0,1.0,1.0,562,0,576,1728
0.71845,0.9704861111111112,0.0,1.0,1.0,559,0,576,1728
0.71855,0.9670138888888888,0.0,1.0,1.0,557,0,576,1728
0.7187,0.9652777777777778,0.0,1.0,1.0,556,0,576,1728
0.71885,0.9618055555555556,0.0,1.0,1.0,554,0,576,1728
0.71895,0.9600694444444444,0.0,1.0,1.0,553,0,576,1728
0.71905,0.9565972222222222,0.0,1.0,1.0,551,0,576,1728
0.7192000000000001,0.9548611111111112,0.0,1.0,1.0,550,0,576,1728
0.7194,0.9496527777777778,0.0,1.0,1.0,547,0,576,1728
0.7261,0.9444444444444444,0.0,1.0,1.0,544,0,576,1728
0.73375,0.9409722222222222,0.0,1.0,1.0,542,0,576,1728
0.7359,0.9392361111111112,0.0,1.0,1.0,541,0,576,1728
0.738,0.9357638888888888,0.0,1.0,1.0,539,0,576,1728
0.73905,0.9322916666666666,0.0,1.0,1.0,537,0,576,1728
0.7393000000000001,0.9288194444444444,0.0,1.0,1.0,535,0,576,1728
0.73955,0.9270833333333334,0.0,1.0,1.0,534,0,576,1728
0.7398,0.9201388888888888,0.0,1.0,1.0,530,0,576,1728
0.74005,0.9166666666666666,0.0,1.0,1.0,528,0,576,1728
0.74015,0.9114583333333334,0.0,1.0,1.0,525,0,576,1728
0.74025,0.9079861111111112,0.0,1.0,1.0,523,0,576,1728
0.74045,0.9045138888888888,0.0,1.0,1.0,521,0,576,1728
0.7407,0.9027777777777778,0.0,1.0,1.0,520,0,576,1728
0.74085,0.8975694444444444,0.0,1.0,1.0,517,0,576,1728
0.74095,0.8888888888888888,0.0,1.0,1.0,512,0,576,1728
0.74105,0.8871527777777778,0.0,1.0,1.0,511,0,576,1728
0.74115,0.8854166666666666,0.0,1.0,1.0,510,0,576,1728
0.7413,0.8819444444444444,0.0,1.0,1.0,508,0,576,1728
0.7414499999999999,0.8767361111111112,0.0,1.0,1.0,505,0,576,1728
0.74155,0.875,0.0,1.0,1.0,504,0,576,1728
0.74165,0.8715277777777778,0.0,1.0,1.0,502,0,576,1728
0.74175,0.8680555555555556,0.0,1.0,1.0,500,0,576,1728
0.7419,0.8663194444444444,0.0,1.0,1.0,499,0,576,1728
0.74205,0.8628472222222222,0.0,1.0,1.0,497,0,576,1728
0.74215,0.8576388888888888,0.0,1.0,1.0,494,0,576,1728
0.74225,0.8524305555555556,0.0,1.0,1.0,491,0,576,1728
0.74235,0.8489583333333334,0.0,1.0,1.0,489,0,576,1728
0.74245,0.8472222222222222,0.0,1.0,1.0,488,0,576,1728
0.74255,0.8368055555555556,0.0,1.0,1.0,482,0,576,1728
0.7427,0.8350694444444444,0.0,1.0,1.0,481,0,576,1728
0.7429,0.8333333333333334,0.0,1.0,1.0,480,0,576,1728
0.74335,0.828125,0.0,1.0,1.0,477,0,576,1728
0.74375,0.8229166666666666,0.0,1.0,1.0,474,0,576,1728
0.74385,0.8211805555555556,0.0,1.0,1.0,473,0,576,1728
0.74395,0.8125,0.0,1.0,1.0,468,0,576,1728
0.74405,0.8072916666666666,0.0,1.0,1.0,465,0,576,1728
0.7442,0.8055555555555556,0.0,1.0,1.0,464,0,576,1728
0.74435,0.8038194444444444,0.0,1.0,1.0,463,0,576,1728
0.7444500000000001,0.7986111111111112,0.0,1.0,1.0,460,0,576,1728
0.74455,0.7951388888888888,0.0,1.0,1.0,458,0,576,1728
0.74465,0.7934027777777778,0.0,1.0,1.0,457,0,576,1728
0.74475,0.7899305555555556,0.0,1.0,1.0,455,0,576,1728
0.74485,0.7864583333333334,0.0,1.0,1.0,453,0,576,1728
0.74505,0.7829861111111112,0.0,1.0,1.0,451,0,576,1728
0.74525,0.7795138888888888,0.0,1.0,1.0,449,0,576,1728
0.74535,0.7777777777777778,0.0,1.0,1.0,448,0,576,1728
0.7455,0.7725694444444444,0.0,1.0,1.0,445,0,576,1728
0.74565,0.7690972222222222,0.0,1.0,1.0,443,0,576,1728
0.74575,0.7604166666666666,0.0,1.0,1.0,438,0,576,1728
0.74585,0.7569444444444444,0.0,1.0,1.0,436,0,576,1728
0.74595,0.7534722222222222,0.0,1.0,1.0,434,0,576,1728
0.74605,0.7482638888888888,0.0,1.0,1.0,431,0,576,1728
0.7462,0.7413194444444444,0.0,1.0,1.0,427,0,576,1728
0.74635,0.7326388888888888,0.0,1.0,1.0,422,0,576,1728
0.7464500000000001,0.7309027777777778,0.0,1.0,1.0,421,0,576,1728
0.74655,0.7256944444444444,0.0,1.0,1.0,418,0,576,1728
0.74665,0.71875,0.0,1.0,1.0,414,0,576,1728
0.74675,0.7152777777777778,0.0,1.0,1.0,412,0,576,1728
0.74685,0.7083333333333334,0.0,1.0,1.0,408,0,576,1728
0.74695,0.7065972222222222,0.0,1.0,1.0,407,0,576,1728
0.74705,0.7048611111111112,0.0,1.0,1.0,406,0,576,1728
0.74715,0.6944444444444444,0.0,1.0,1.0,400,0,576,1728
0.74725,0.6875,0.0,1.0,1.0,396,0,576,1728
0.74735,0.6770833333333334,0.0,1.0,1.0,390,0,576,1728
0.74745,0.6736111111111112,0.0,1.0,1.0,388,0,576,1728
0.74755,0.671875,0.0,1.0,1.0,387,0,576,1728
0.74765,0.6684027777777778,0.0,1.0,1.0,385,0,576,1728
0.74775,0.6666666666666666,0.0,1.0,1.0,384,0,576,1728
